Property,0,1,2,3,4,5,6
NDVI_0,0.174,0.211,0.172,0.181,0.183,0.143,0.285
NDVI_1,0.183,0.217,0.164,0.182,0.182,0.135,0.303
NDVI_10,0.518,0.679,0.611,0.461,0.725,0.302,0.744
NDVI_11,0.59,0.701,0.683,0.486,0.711,0.371,0.745
NDVI_12,0.448,0.624,0.576,0.429,0.594,0.268,0.683
NDVI_13,0.306,0.522,0.441,0.35,0.452,0.212,0.661
NDVI_14,0.251,0.427,0.342,0.299,0.371,0.184,0.591
NDVI_15,0.243,0.364,0.283,0.271,0.329,0.175,0.527
NDVI_16,0.24,0.326,0.244,0.251,0.302,0.163,0.488
NDVI_17,0.239,0.295,0.221,0.238,0.282,0.162,0.438
NDVI_18,0.23,0.271,0.208,0.227,0.263,0.162,0.392
NDVI_19,0.232,0.267,0.209,0.229,0.255,0.168,0.384
NDVI_2,0.163,0.198,0.154,0.166,0.167,0.127,0.291
NDVI_20,0.2,0.234,0.185,0.205,0.221,0.153,0.331
NDVI_21,0.191,0.227,0.18,0.198,0.211,0.15,0.322
NDVI_22,0.185,0.224,0.179,0.197,0.204,0.151,0.313
NDVI_23,0.16,0.192,0.157,0.17,0.171,0.135,0.266
NDVI_24,0.142,0.144,0.07,0.145,0.153,0.087,0.204
NDVI_25,0.153,0.188,0.142,0.161,0.175,0.114,0.283
NDVI_26,0.166,0.199,0.155,0.174,0.179,0.131,0.289
NDVI_27,0.149,0.178,0.136,0.15,0.16,0.115,0.273
NDVI_3,0.149,0.185,0.138,0.146,0.156,0.113,0.278
NDVI_4,0.16,0.203,0.134,0.154,0.169,0.116,0.342
NDVI_5,0.187,0.242,0.153,0.187,0.256,0.137,0.442
NDVI_6,0.247,0.243,0.165,0.18,0.258,0.154,0.37
NDVI_7,0,0,0,0,0,0,0
NDVI_8,0.585,0.581,0.492,0.365,0.117,0.332,0.578
NDVI_9,0,0,0,0,0,0,0
